Tool,API,Known,Rule,Status,Fuzzing Rule,Corner Case,Symptom,Fix status,Link
M1,tf.math.minimum,new,Large Integer Argument,confirmed,Preemptive Corner Case Generator Type 1 ,Case_x,Segfault,not fixed,https://issuetracker.google.com/issues/296678432
M1,tf.keras.layers.MaxPool2D,new,Large List Element,confirmed,List Corner Case Generator,Case_x,Check failed,not fixed,https://github.com/tensorflow/tensorflow/issues/61605
M3,tensorflow.python.ops.gen_array_ops.depth_to_space,new,Large Integer Argument,confirmed,Preemptive Corner Case Generator Type 1 ,Case_x,Floating Point Exception,not fixed,https://github.com/tensorflow/tensorflow/issues/61562
M1,tf.raw_ops.ResizeBicubic,new,Large List Element,confirmed,List Corner Case Generator,Case_x,Segfault,not fixed,https://issuetracker.google.com/issues/296619405?pli=1
M3,tensorflow.python.ops.gen_data_flow_ops.record_input,new,Large Integer Argument,confirmed,Preemptive Corner Case Generator Type 1 ,Case_x,Segfault,not fixed,https://github.com/tensorflow/tensorflow/issues/61558
M1,tf.compat.v1.nn.depth_to_space,new,Large Integer Argument,confirmed,Preemptive Corner Case Generator Type 1 ,Case_x,Floating Point Exception,not fixed,https://issuetracker.google.com/issues/296650168
M3,tensorflow.python.ops.array_ops.depth_to_space,new,Large Integer Argument,confirmed,Preemptive Corner Case Generator Type 1 ,Case_x,Floating Point Exception,not fixed,https://issuetracker.google.com/issues/296700694
M3,tf.compat.v1.depth_to_space,new,Large Integer Argument,confirmed,Preemptive Corner Case Generator Type 1 ,Case_x,Floating Point Exception,not fixed,https://issuetracker.google.com/issues/296647901
M3,tensorflow.python.framework.kernels.get_registered_kernels_for_op,new,None Input Argument,confirmed,Preemptive Corner Case Generator Type 2,Case_none,Segfault,not fixed,https://github.com/tensorflow/tensorflow/issues/61572
M2,tensorflow.python.eager.remote.connect_to_remote_host,new,NaN Input Argument,confirmed,List Corner Case Generator,Case_nan,Assertion failed,not fixed,https://github.com/tensorflow/tensorflow/issues/61568
M1,tf.compat.v1.layers.MaxPooling1D,new,Large List Element,confirmed,List Corner Case Generator,Case_x,Check failed,not fixed,https://github.com/tensorflow/tensorflow/issues/61642
M1,tf.raw_ops.Minimum,new,Large Integer Argument,confirmed,Preemptive Corner Case Generator Type 1 ,Case_x,Segfault,not fixed,https://issuetracker.google.com/issues/296678432
M1,tf.raw_ops.ResizeBicubic,new,Large List Element,confirmed,List Corner Case Generator,Case_x,Segfault,not fixed,https://issuetracker.google.com/issues/296619405?pli=1
M3,tf.raw_ops.DepthToSpace,new,Large Integer Argument,confirmed,Preemptive Corner Case Generator Type 1 ,Case_x,Floating Point Exception,not fixed,https://issuetracker.google.com/issues/296646528
M3,tensorflow.python.ops.gen_list_ops.tensor_list_reserve,new,Large Integer Argument,confirmed,Preemptive Corner Case Generator Type 1 ,Case_x,Segfault,not fixed,https://github.com/tensorflow/tensorflow/issues/61563
M1,tensorflow.python.ops.gen_math_ops._histogram_fixed_width,new,Large List Element,confirmed,List Corner Case Generator,Case_x,Segfault,not fixed,https://github.com/tensorflow/tensorflow/issues/61555
M2,tensorflow.python.ops.gen_nn_ops.max_pool_grad_with_argmax,new,Tensor List-Indices Mismatch,confirmed,Tensor List-Indices Mismatch,Tensor List-Indices Mismatch,Check failed,not fixed,https://github.com/tensorflow/tensorflow/issues/61653
