Library,Commit,Date,PR/Issue,Violation,Root Cause,Impact,Action,condition,Fixing pattern,Fixing element,,,
pytorch,https://github.com/pytorch/pytorch/commit/8b37821813b60a3ce2ae92e7a06057183578a450,2023-06-20 17:01:57,,missing,device availability,others,add,macro checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/c1e51fcbfc70c089276530ee64fb626e3f7f4f2b,2023-11-29 23:43:46,1,missing,device availability,incorrect functionality,add,if checker,device is available,floating point,,,
pytorch,https://github.com/pytorch/pytorch/commit/59a3759d9787091e75d939de603981a6d32505c8,2023-05-15 18:47:41,,missing,device availability,others,add,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/e856a4d66bead8997a83f8714547c09fcbcdc263,2022-11-17 15:10:52,,missing,device version,version incompatibility,add,if checker,device version is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/cf256ee268c30d4ca965b38b45467cf7f738542f,2017-11-01 5:51:23,,missing,device version,version incompatibility,add,if checker,device version is valid,rnn cuda,,,
pytorch,https://github.com/pytorch/pytorch/commit/0fc110cdd19363f2eb5de68b6eeb82dadc933be0,2021-07-08 16:26:07,,missing,device version,version incompatibility,add,if checker,device version is valid,device version,,,
pytorch,https://github.com/pytorch/pytorch/commit/ef44faece2cd4045f58cbbac6c74842b84ac6c45,2018-08-14 13:11:13,,missing,attribute existence,crash,extend,if checker,attribute exists,,,,
pytorch,https://github.com/pytorch/pytorch/commit/5c93ca258bab7bd74a8ec94d64647e48c8ad8797,2018-02-16 21:06:08,,missing,attribute existence,crash,extend,if checker,attribute exists,,,,
pytorch,https://github.com/pytorch/pytorch/commit/b31cf0ebd4ffc0e25801b4e40762266ad54721d6,2017-09-10 13:47:34,,missing,attribute existence,attribute error,add,if checker,attribute exists,,,,
pytorch,https://github.com/pytorch/pytorch/commit/c5fdcd85c7570b654eec45b6cba7cc75b0cf8f6b,2020-07-23 18:56:48,,missing,attribute existence,attribute error,add,if checker,attribute exists,tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/678c08bb55eef0c2e707a17d0cd6e50f5b9bd427,2022-02-11 10:59:13,,missing,backend type,incorrect functionality,add,if checker,backend is available,gloo backend,,,
pytorch,https://github.com/pytorch/pytorch/commit/dd819138da4954eaf85ae095c860bdb094ae7321,2023-09-26 2:08:17,1,missing,backend type,incorrect functionality,add,if checker,backend is available,vulkan tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/db1ac4e29b0f557711190c8d49d4afb5da1844e8,2023-07-06 5:52:48,1,missing,backend type,incorrect functionality,update,checker api,backend is available,gloo backend,,,
pytorch,https://github.com/pytorch/pytorch/commit/3ef4d697df5bfdbd27dfc7a79c0679da2b87e3af,2023-05-30 15:22:37,1,missing,backend type,incorrect functionality,add,checker api,backend is available,nccl backend,,,
pytorch,https://github.com/pytorch/pytorch/commit/a24c11329a1bdfb00848b4af6dced5368622d637,2017-12-08 18:03:49,0,missing,backend type,incorrect functionality,add,checker api,backend is available,nccl backend,,,
pytorch,https://github.com/pytorch/pytorch/commit/6bf0e3b697ce688bc8325440dea3b51fea571c3d,2023-01-03 17:38:29,2,missing,backend type,incorrect functionality,update,checker api,backend is available,backend type,,,
pytorch,https://github.com/pytorch/pytorch/commit/9bb1371cc20a14907dbc47bc98e3ac5de866e34b,2021-08-18 14:51:23,,missing,platform compability,user confusion,add,if checker,others,msvc,,,
pytorch,https://github.com/pytorch/pytorch/commit/48e675ac7519666ed5e96d8d49c468dfc15a5d66,2021-04-16 21:19:22,1,missing,computation graph,incorrect functionality,add,checker api,nodes in computation graph,node type,,,
pytorch,https://github.com/pytorch/pytorch/commit/d01f8b291d437a37ec8809a18c1bb2ebfa825285,2023-11-08 0:27:15,1,missing,computation graph,runtime error,add,checker api,nodes in computation graph,node attribute,,,
pytorch,https://github.com/pytorch/pytorch/commit/62732bdcdb8b6112e01366d4ad1c2a50e61da1ed,2023-09-13 21:40:49,1,missing,computation graph,incorrect functionality,add,checker api,nodes in computation graph,computation graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/aab55d6d0d7b958e32cfdbb69794e107cfceb6bc,2023-01-05 18:58:45,1,missing,computation graph,incorrect functionality,add,assertion statement,others,computation graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/bae895cef0c12df5f64afa155ce5462e06f0e04a,2020-05-15 4:40:48,,missing,device availability,incorrect functionality,add,macro checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/cf348bcdeecfe0b47a2245d95eaa8ef37fb7b53e,2017-11-02 19:53:36,,missing,device availability,incorrect functionality,add,macro checker,device is available,cuda,,,
pytorch,https://github.com/pytorch/pytorch/commit/181b2481d338a24efc553378c837dcc48b656e3f,2017-09-29 15:18:31,,missing,device availability,incorrect functionality,add,macro checker,device is available,cuda,,,
pytorch,https://github.com/pytorch/pytorch/commit/5054cb893485890c99af404cf81c0d5d8fef28ae,2021-07-07 22:29:17,,missing,device availability,incorrect functionality,add,macro checker,device is available,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/027c0d7f8e37e583c02b372df5331d73793c06b1,2022-01-26 21:28:19,,missing,device availability,incorrect functionality,add,if checker,device is available,device types,,,
pytorch,https://github.com/pytorch/pytorch/commit/ee91c328da5739ce03b3127cd7c542ce505212b8,2022-11-11 7:19:31,1,missing,edge cases,runtime error,update,if checker,tensor is not empty,none tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/cdab6c8df9ff9331126f69ea59c23f06109f03d7,2023-04-17 12:37:16,,missing,edge cases,numerical error,add,if checker,object is not empty,,,,
pytorch,https://github.com/pytorch/pytorch/commit/7f5737392d637a22d555a88a8546d8fc7ab31084,2023-09-28 11:45:05,1,missing,edge cases,numerical error,add,if checker,object is not empty,Control Variables,,,
pytorch,https://github.com/pytorch/pytorch/commit/87082bd025362a84fedcca02350963d21a950d12,2023-11-09 17:02:28,1,missing,edge cases,performance bug,add,if checker,object is not empty,ReadAdapterInterface,,,
pytorch,https://github.com/pytorch/pytorch/commit/dcac4dd58edefb6951a60266e53d8767dc9be002,2022-10-02 23:29:08,,missing,edge cases,performance bug,add,macro checker,others,,,,
pytorch,https://github.com/pytorch/pytorch/commit/027e3b7910fade8950038fb5044a548319510600,2023-09-06 21:51:02,1,improper,edge cases,incorrect functionality,extend,if checker,others,tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/122587dcb41427f473b7833eaf254384919e06fc,2020-05-07 1:35:00,,missing,edge cases,incorrect functionality,add,macro checker,object is not empty,,,,
pytorch,https://github.com/pytorch/pytorch/commit/91066559a8c8e5978ed4de722317576b222267c5,2018-01-20 0:34:09,,missing,edge cases,incorrect functionality,add,macro checker,object is not empty,,,,
pytorch,https://github.com/pytorch/pytorch/commit/e3542d2c12d8aaaccf8a53873e480c20dc6b7338,2020-12-11 16:57:57,,missing,edge cases,crash,add,if checker,tensor is not empty,empty tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/45d5b3248b430aca70111316accd165954464589,2021-11-01 17:45:33,,missing,edge cases,crash,add,if checker,object is not empty,empty variable,,,
pytorch,https://github.com/pytorch/pytorch/commit/666ff0ae220e1a5c406b0bc5cd43283e1b18b38e,2022-01-26 17:29:33,,missing,edge cases,numerical error,add,if checker,input argument is valid,integer range precision,,,
pytorch,https://github.com/pytorch/pytorch/commit/ba59d720cd5c5c81601b53d2c3397c46c1f87883,2019-10-21 16:03:02,,missing,edge cases,incorrect functionality,add,if checker,input argument is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/babb28d2a3a755424f72518bc360d9f511a24463,2017-07-25 0:52:30,,missing,edge cases,segmentation fault,add,macro checker,tensor indexing is within range,tensor values,,,
pytorch,https://github.com/pytorch/pytorch/commit/bc371a2cd03ce573f3ad4f7be141364136028905,2022-04-12 20:33:49,,missing,edge cases,others,add,if checker,input argument is valid,computation graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/7ddf167ba5db277e02f983a6bde2bc3f5fbe1caa,2022-09-30 14:30:06,,missing,edge cases,incorrect functionality,add,if checker,object is not empty,,,,
pytorch,https://github.com/pytorch/pytorch/commit/3aeaa21eb02953a9cbc62b3e61215572fc28453e,2024-02-02 19:22:56,,missing,edge cases,incorrect functionality,add,if checker,object is not empty,,,,
pytorch,https://github.com/pytorch/pytorch/commit/23631eee5ae484d8397769492b3ea36f9eca282d,2018-03-19 19:38:55,,missing,edge cases,incorrect functionality,add,if checker,object is not empty,,,,
pytorch,https://github.com/pytorch/pytorch/commit/5fc122bf3973504e619cd677ad4a7fc1011642cd,2017-10-24 17:54:28,,missing,edge cases,incorrect functionality,add,macro checker,others,positional arguments,,,
pytorch,https://github.com/pytorch/pytorch/commit/647154f82ac2c57769f080c41452b3e5960ab94f,2019-03-25 11:44:17,,missing,edge cases,segmentation fault,add,macro checker,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/a6a433aecd0da3ac3c8d49cb36091623f1b5ec9e,2023-02-13 16:00:00,,missing,edge cases,crash,add,macro checker,object is not empty,stack,,,
pytorch,https://github.com/pytorch/pytorch/commit/2c9dd886afc656a8bfe5d8bbcb601ee5877cee21,2021-12-14 12:55:59,,missing,edge cases,crash,add,if checker,tensor dimension is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/52e76a305677dfaf26cd5d59bd1aa239375f833c,2023-10-11 17:26:41,1,missing,edge cases,incorrect functionality,add,if checker,tensor is not empty,tensor element,,,
pytorch,https://github.com/pytorch/pytorch/commit/d23231fd8cd50e4eb657eb7c3cf102475634f9c6,2022-02-02 19:41:03,,missing,edge cases,incorrect functionality,add,if checker,object is not empty,variables,,,
pytorch,https://github.com/pytorch/pytorch/commit/4ee179c9528c8c6aae17a01f2b0d7e8235219219,2023-09-15 20:07:19,1,missing,others,incorrect functionality,add,if checker,object is not empty,numpy,,,
pytorch,https://github.com/pytorch/pytorch/commit/ba766ef39a4fff2d8856e17747393d469e409775,2017-10-04 16:03:20,1,missing,edge cases,incorrect functionality,add,if checker,object is not empty,input data,,,
pytorch,https://github.com/pytorch/pytorch/commit/b287cb816c1ac52165920a121c98643c08d31ff7,2023-06-15 23:56:39,,missing,invalid return types,incorrect functionality,add,checker api,return value is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/999bae0f54108ffc5b7cf2524a02a83901554b16,2023-05-30 1:07:59,,missing,invalid return types,incorrect functionality,add,if checker,return value is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/ce3413549f5cc312f48c4e2a2f60c41674e26257,2017-11-16 16:30:53,,missing,invalid return types,crash,add,macro checker,return value is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/66b04e3cb707d30c4698b269c83cb6221848f17a,2023-12-14 18:40:54,1,missing,null pointer dereference,crash,add,if checker,object is not null,profiling_name,,,
pytorch,https://github.com/pytorch/pytorch/commit/14c47fb211bc929ae4e505e7e13411faa2339f00,2018-03-06 3:33:11,,missing,null pointer dereference,crash,add,if checker,object is not null,,,,
pytorch,https://github.com/pytorch/pytorch/commit/eb8659fe81f3d4b061674bf149a6805cd292db8d,2023-08-31 16:21:20,1,missing,edge cases,inconsistent results,add,if checker,others,floating point,,,
pytorch,https://github.com/pytorch/pytorch/commit/c7748fc172553da66368fd0b7fea3fe5661e2dc1,2021-10-03 11:42:28,,missing,others,incorrect functionality,add,if checker,input argument is valid,optional parameter,,,
pytorch,https://github.com/pytorch/pytorch/commit/40a7c317bc60713528320b9786765e4ec5707982,2021-06-24 21:44:41,,missing,platform compability,version incompatibility,add,if checker,others,BLAS F2C,,,
pytorch,https://github.com/pytorch/pytorch/commit/f77f88fbc7511b405c4e493bdd74634b633f63d1,2023-02-01 3:12:39,,missing,tensor quantization,crash,add,if checker,tensor quantization is valid,platform,,,
pytorch,https://github.com/pytorch/pytorch/commit/2a3ab71f285ee3ad10d39c716fe4ba90e7c849b2,2020-07-23 0:06:48,,missing,tensor quantization,incorrect functionality,add,if checker,tensor quantization is valid,quantization,,,
pytorch,https://github.com/pytorch/pytorch/commit/acd51e13f727af22e6c9e579518362898f1b12e6,2020-02-11 20:38:49,,missing,tensor quantization,incorrect functionality,add,if checker,tensor quantization is valid,quantization,,,
pytorch,https://github.com/pytorch/pytorch/commit/0584fd9339af7c939ab7d955db05743ba58ff86d,2021-03-10 19:51:36,,missing,tensor quantization,incorrect functionality,add,if checker,tensor quantization is valid,quantized,,,
pytorch,https://github.com/pytorch/pytorch/commit/97245a06e14a5b87a0bca1908d7200603aff2c8c,2023-05-04 11:06:27,,missing,tensor shape mismatch,crash,add,macro checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/9bcb4de16878073896d8743fbd70d5abe28b595a,2022-05-03 7:50:36,,improper,tensor shape mismatch,crash,extend,macro checker,tensor dimension is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/65496e4e67b42e52b3428b0cf2d994e0aa1a9902,2019-04-25 17:50:19,,missing,tensor shape mismatch,crash,add,if checker,axis parameter matches tensor dimension,,,,
pytorch,https://github.com/pytorch/pytorch/commit/260f66c3165ce0c48dd1514a916da6971d981578,2019-02-21 22:34:30,,missing,tensor shape mismatch,crash,add,macro checker,axis parameter matches tensor dimension,,,,
pytorch,https://github.com/pytorch/pytorch/commit/dc07102b17915f21170fae9a9d52c6f2d59726ca,2018-10-16 20:27:44,,missing,tensor shape mismatch,crash,add,macro checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/8af88f3525e1908deb9ac181ebfb9f8eb49bcb46,2018-06-06 23:20:33,,missing,tensor shape mismatch,crash,add,if checker,axis parameter matches tensor dimension,,,,
pytorch,https://github.com/pytorch/pytorch/commit/74783f0cd83e8ef1fd32cfd04f36da8ddfc52f57,2018-05-31 0:09:32,,missing,tensor shape mismatch,crash,add,macro checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/77523df413ff7f8a336b6481cfa47967c234a149,2018-01-11 15:14:33,,missing,tensor shape mismatch,crash,add,if checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/8d377617e73a399e5b8838cf96dfd2896576ac52,2017-11-02 14:25:49,,missing,tensor shape mismatch,crash,add,macro checker,tensor dimension is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/8f26d6aabcad991da88b663467ee2080a38631f7,2017-10-13 10:56:19,,missing,tensor shape mismatch,crash,add,if checker,axis parameter matches tensor dimension,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/a53f4b0f9bbc007c0a92e4fd28dd22af027e24a8,2017-07-27 12:54:44,,missing,tensor shape mismatch,crash,add,macro checker,tensor dimension is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/ecd3c252b4da3056797f8a505c9ebe8d68db55c4,2020-02-14 1:53:11,,missing,tensor shape mismatch,crash,add,if checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/55092b1cc604fad3d70d31e71bbdd3a43a279423,2018-12-05 15:00:23,,missing,tensor shape mismatch,crash,add,macro checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/1359d16fe8ca0cb7041674c455f2f99a9636fec0,2023-03-05 9:53:02,1,missing,tensor execution mode,incorrect functionality,add,checker api,tensor is executed in eager mode,execution mode,,,
pytorch,https://github.com/pytorch/pytorch/commit/41902a6ebc1806e7f4d6ce1da604cc9921c6515e,2024-01-29 3:31:26,1,missing,tensor execution mode,performance bug,add,checker api,tensor is executed in eager mode,execution mode,,,
pytorch,https://github.com/pytorch/pytorch/commit/1f819ee965894b8332cb364a67c91855c91c9dcc,2022-06-03 16:14:32,1,missing,gradient status,inconsistent results,add,checker api,tensor is tracking gradient,gradient,,,
pytorch,https://github.com/pytorch/pytorch/commit/dc43ad428603539a2051940c09b191825f66203d,2024-01-10 22:37:45,1,missing,gradient status,inconsistent results,add,checker api,tensor is tracking gradient,gradient,,,
pytorch,https://github.com/pytorch/pytorch/commit/f118d20bea9188db1bd053dd1d1af1b32479183e,2021-06-28 13:40:30,1,missing,gradient status,inconsistent results,add,checker api,tensor is tracking gradient,gradient,,,
pytorch,https://github.com/pytorch/pytorch/commit/c1c4882367c592d49e15268a0b99631c207d662e,2023-11-16 2:42:30,1,missing,tensor operations,incorrect functionality,update,if checker,tensor operations are valid,tensor operations,,,
pytorch,https://github.com/pytorch/pytorch/commit/af3cbfed9510747c776418c260c5116f662c6452,2021-08-18 13:41:10,,missing,tensor operations,incorrect functionality,add,if checker,tensor operations are valid,computation graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/f3a2094065c8b4b7bae426e71c923a8a8abb74b5,2024-02-09 13:24:09,,missing,tensor operations,incorrect functionality,add,if checker,tensor operations are valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/cc6a51c9f3ee97a06ff9c0b84477e88e33e31137,2022-06-02 17:12:14,,missing,tensor shape mismatch,runtime error,add,macro checker,tensor shape is valid,tensor shape,,,
pytorch,https://github.com/pytorch/pytorch/commit/8ee59280d78a4fefc4de0da04b287e067c28de0d,2023-04-21 2:40:09,,missing,tensor shape mismatch,incorrect functionality,extend,if checker,tensor shape is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/41ad221751e57c2d2ccc82b431f56d6ed62e1741,2022-02-16 13:36:21,,missing,tensor shape mismatch,inconsistent results,add,macro checker,tensor size is valid,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/e9e125475e94aabfb34ee239fadc760615eef429,2021-05-12 1:07:21,,missing,tensor shape mismatch,inconsistent results,add,if checker,tensor size is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/7ea6559658a6f650363f8b96f462bbc047e29124,2020-02-04 18:00:54,,missing,tensor shape mismatch,runtime error,add,macro checker,tensor size is valid,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/bbb5e106ad6228953df6c7f5c8916b26dc0cb457,2020-05-27 10:41:02,,missing,tensor shape mismatch,runtime error,add,macro checker,output and input tensors has same size,,,,
pytorch,https://github.com/pytorch/pytorch/commit/b7882f9bd65de5a4c60f625d56186b583c1d6842,2020-05-27 10:38:58,,missing,tensor shape mismatch,runtime error,add,macro checker,output and input tensors has same size,,,,
pytorch,https://github.com/pytorch/pytorch/commit/d3bf6803b62c79f1dafd1eec49b4bd65d5a27697,2023-10-27 13:15:03,1,missing,tensor shape mismatch,incorrect functionality,add,assertion statement,tensor type is valid,tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/794e3971ab90611b4a63166589368a737843c8bc,2023-05-02 14:50:31,,missing,out of bound access,crash,add,macro checker,others,,,,
pytorch,https://github.com/pytorch/pytorch/commit/7684044b713761abd4f51225dc5d83ce5869562a,2023-04-28 20:26:35,,missing,tensor shape mismatch,segmentation fault,add,macro checker,tensor size is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/c69b3b8d4f484cf537d98974a3a4143b77edf3c8,2023-03-13 16:04:12,,missing,device availability,incorrect functionality,add,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/fb25fd6f865ed0532caf710ca130b6cc23a772a8,2023-11-20 20:24:21,1,missing,misleading error message,segmentation fault,add,assertion statement,improve error message,,,,
pytorch,https://github.com/pytorch/pytorch/commit/9e314bd8224f93b4ba1f9e4c065150e47a2de2cc,2022-12-06 13:17:20,1,missing,tensor operations,incorrect functionality,add,if checker,tensor type is valid,tensor type,,,
pytorch,https://github.com/pytorch/pytorch/commit/55c19a3c6d38a49fe34e008c4c566445c43810f0,2023-09-16 6:02:56,1,missing,type checking,inconsistent results,add,if checker,object type is valid,multiplier,,,
pytorch,https://github.com/pytorch/pytorch/commit/6e78592cbb81138ce13ad65a5f549d65b191526c,2024-01-24 13:24:44,2,missing,type checking,incorrect functionality,add,type checking api,tensor type is valid,ExportedProgram,,,
pytorch,https://github.com/pytorch/pytorch/commit/442d7d72def17dba46f0b95c55c6a028428be0bc,2021-11-09 14:42:34,,missing,type checking,type error,add,type checking api,tensor type is valid,variable,,,
pytorch,https://github.com/pytorch/pytorch/commit/828a6a3b3943a0a0701ecacacd2bcc34fc03fe03,2019-03-31 5:08:11,,missing,type checking,incorrect functionality,add,checker api,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/47c531b6e80e36282dbaec60d239ae1b9f816f43,2021-10-12 13:49:36,,missing,type checking,performance bug,update,if checker,others,object,,,
pytorch,https://github.com/pytorch/pytorch/commit/3611d26a25bd889627403a808ea667ac99c09904,2020-11-16 23:50:24,,missing,type checking,performance bug,add,checker api,tensor type is valid,tensor data type,,,
pytorch,https://github.com/pytorch/pytorch/commit/324dc1623e2f91892038fb1b151450a7c6529dd9,2020-05-11 2:15:45,,missing,type checking,crash,add,checker api,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/5e50993be72bec4ad939993328dd02691ef7777d,2018-05-26 11:16:41,,missing,type checking,unknown,add,checker api,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/6c91610f0c86153232bf3a66f3a23e42b96e79b6,2019-04-07 18:06:04,,missing,type checking,incorrect functionality,add,checker api,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/68ad9ae5bebd9efab127fa99e2bafd6852bbd8ed,2018-12-12 12:58:03,,missing,type checking,incorrect functionality,add,checker api,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/df475aa1dc4310abc273cf26b14b6ac1cdb7dfa4,2021-10-05 10:59:56,,missing,type checking,incorrect functionality,add,checker api,tensor type is valid,tensor type,,,
pytorch,https://github.com/pytorch/pytorch/commit/e574a8ab55b2ac4266211d30d98d32d8b849ea86,2023-10-24 21:18:32,1,missing,type checking,incorrect functionality,add,type checking api,others,,,,
pytorch,https://github.com/pytorch/pytorch/commit/468a73f0e3527c52495c864c7d48dc26684f6c0b,2023-10-09 21:46:33,1,missing,type checking,type error,add,if checker,object type is valid,numpy object,,,
pytorch,https://github.com/pytorch/pytorch/commit/e31038d574712d383fdc4c2f1bb63fc82f256ed0,2023-08-30 10:55:18,1,missing,type checking,incorrect functionality,add,macro checker,tensor type is valid,tensor data type,,,
pytorch,https://github.com/pytorch/pytorch/commit/a69f427f957a37eee9c1dd5df681f30ab38ed3e4,2023-06-26 18:01:27,,missing,type checking,runtime error,update,macro checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/8340762211e3b55caa178bac748bd902249f6fc0,2023-06-13 22:13:05,,missing,type checking,incorrect functionality,add,type checking api,object type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/2dafa70d61a1a5af849ab79c7aed4c84686337a0,2023-06-07 10:40:12,,missing,type checking,unknown,add,type checking api,object type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/ae55619a2bb73ebcdc80b02a6ccd72275a9ce23e,2023-04-14 12:57:35,,missing,type checking,incorrect functionality,add,macro checker,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/b6920405da340bbd3397b80bf16d9c360b0c48d2,2022-05-25 22:27:33,,missing,type checking,performance bug,add,if checker,tensor type is valid,python object,,,
pytorch,https://github.com/pytorch/pytorch/commit/152f665dee05377f7459d985d60dc1edb782d40e,2021-11-01 19:53:54,,missing,type checking,others,add,if checker,object type is valid,python object,,,
pytorch,https://github.com/pytorch/pytorch/commit/18eeccc7e8cba16d71efdd2eca831983c4abde15,2021-08-03 19:00:55,,missing,type checking,incorrect functionality,add,assertion statement,object type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/402be850a8946e8967dedb3375fc6f33b379b397,2020-07-12 14:40:19,,missing,type checking,inconsistent results,add,macro checker,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/4dad00b64b396ef81f16bdb896175688fc629f4d,2020-02-26 21:44:40,,missing,type checking,incorrect functionality,add,macro checker,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/4cc6e6bbbe1fb114e7d7fb207ef2deb567950102,2020-02-01 16:15:50,,missing,type checking,type error,add,if checker,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/4b1ebd2f65e49d251ac2cfdb635794c7c6eb362f,2017-07-10 20:52:22,,missing,type checking,performance bug,add,if checker,others,fp32,,,
pytorch,https://github.com/pytorch/pytorch/commit/65dfe1203ffab064d4e32fa8f76833042369d2f5,2019-04-03 15:47:23,,missing,type checking,inconsistent results,add,assertion statement,object type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/5a962369e2b527b36a737723df1fe9c180aa2925,2021-02-05 12:59:12,,missing,backend type,incorrect functionality,add,macro checker,backend is available,nccl ,,,
pytorch,https://github.com/pytorch/pytorch/commit/fa66a1498eb1fac5b36811d5c1d6ba1540ffc824,2019-11-07 18:53:05,,improper,tensor shape mismatch,crash,update,if checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/4fd98dfe69287914fd29b38fbccaf7ac4d7261ee,2022-10-17 17:55:14,1,improper,others,crash,add,if checker,others,ddp module,,,
pytorch,https://github.com/pytorch/pytorch/commit/8a644f0c136cb12cf200050c2ae6875ec487d174,2020-07-28 19:43:19,0,improper,tensor shape mismatch,crash,update,if checker,tensor dimension is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/bdc8b3f3e828ca7202879baa379fda6df5b078d2,2022-02-18 20:33:51,2,missing,tensor shape mismatch,crash,add,if checker,tensor size is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/5023995292f5119c447de15c20a375b7e3aa2d0b,2020-08-05 18:55:46,0,improper,tensor shape mismatch,crash,update,if checker,axis parameter matches tensor dimension,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/24601daa1203a9ad1232e1d18a07ff4842d53d27,2019-07-24 0:11:06,1,improper,tensor shape mismatch,crash,extend,if checker,tensor size is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/a1edf5f63c62d88230d1f7feb26edb059551ae71,2023-03-22 19:26:00,1,improper,tensor shape mismatch,crash,update,if checker,tensor size is valid,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/7553c495147f3e21a1e27d392d277906a47768e7,2023-12-12 13:02:05,1,missing,tensor shape mismatch,crash,add,if checker,output and input tensors has same size,tensor shape,,,
pytorch,https://github.com/pytorch/pytorch/commit/35be57970143236d74661f2415d66d496aab5476,2023-03-29 19:08:03,,improper,tensor shape mismatch,crash,update,if checker,tensor dimension is valid,tensor shape,,,
pytorch,https://github.com/pytorch/pytorch/commit/8dda19b79f2c4418f481a9f56932b3b5c5afdf39,2019-05-29 3:53:53,,unnecessary,device availability,performance bug,remove,macro checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/9d20af50608b146fe1c3296210a05cd8e4c60af2,2022-07-06 14:08:49,,unnecessary,device availability,performance bug,remove,assertion statement,others,cuda graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/f6e137598ddf0b990c423b1d6412502b62e095b2,2021-07-28 19:07:13,,unnecessary,computation graph,unknown,remove,macro checker,others,computation graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/5a20c56ebce3426397210e91693fbbeade8b46ba,2021-07-12 13:09:33,,unnecessary,computation graph,performance bug,remove,macro checker,others,,,,
pytorch,https://github.com/pytorch/pytorch/commit/012829eb3657aff2d58cead0bd166089c6e90c7f,2022-03-09 11:44:56,,unnecessary,device availability,crash,remove,macro checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/5017c5fcad5889acba1623c634d0aaeadb676aa0,2021-04-20 14:17:47,,unnecessary,device availability,unknown,remove,checker api,others,device count,,,
