Library,Advisory Link,Commit,Parent Module,API,Anomaly
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m6vp-8q9j-whx4,https://github.com/tensorflow/tensorflow/commit/5dd7b86b84a864b834c6fa3d7f9f51c87efa99d4,tf.raw_ops,tf.raw_ops.Save,int64 tensor
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m6vp-8q9j-whx4,https://github.com/tensorflow/tensorflow/commit/5dd7b86b84a864b834c6fa3d7f9f51c87efa99d4,tf.raw_ops,f.raw_ops.SaveSlices,int64 tensor
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-397c-5g2j-qxpv,https://github.com/tensorflow/tensorflow/commit/40adbe4dd15b582b0210dfbf40c243a62f5119fa,tf.raw_ops,tf.raw_ops.SparseBincount,Empty input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m6cv-4fmf-66xf,https://github.com/tensorflow/tensorflow/commit/88f93dfe691563baa4ae1e80ccde2d5c7a143821,tf.raw_ops,tf.raw_ops.RaggedTensorToVariant,Rank other than 1
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vxv8-r8q2-63xw,https://github.com/tensorflow/tensorflow/commit/8741e57d163a079db05a7107a7609af70931def4,tf.raw_ops,tf.raw_ops.FractionalMaxPoolGrad,Dimension mismatch
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v7vw-577f-vp8x,https://github.com/tensorflow/tensorflow/commit/49b3824d83af706df0ad07e4e677d88659756d89,tf.raw_ops,tf.raw_ops.QuantizedRelu,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v7vw-577f-vp8x,https://github.com/tensorflow/tensorflow/commit/49b3824d83af706df0ad07e4e677d88659756d89,tf.raw_ops,tf.raw_ops.QuantizedRelu6,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vgvh-2pf4-jr2x,https://github.com/tensorflow/tensorflow/commit/73ad1815ebcfeb7c051f9c2f7ab5024380ca8613,tf.raw_ops,tf.raw_ops.QuantizeDownAndShrinkRange,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-689c-r7h2-fv9v,https://github.com/tensorflow/tensorflow/commit/aca766ac7693bf29ed0df55ad6bfcc78f35e7f48,tf.raw_ops,tf.raw_ops.QuantizedMatMul,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9j4v-pp28-mxv7,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.FakeQuantWithMinMaxVarsPerChannel,Rank other than 1
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-4pc4-m9mj-v2r9,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.QuantizedBiasAdd,Rank other than 0
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-wqmc-pm8c-2jhc,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.Requantize,Rank other than 0
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9fpg-838v-wpv7,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.FakeQuantWithMinMaxVars,Rank other than 0
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-g35r-369w-3fqp,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.QuantizedInstanceNorm,Rank other than 0
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q2c3-jpmc-gfjx,https://github.com/tensorflow/tensorflow/commit/50156d547b9a1da0144d7babe665cf690305b33c,tf.raw_ops,tf.raw_ops.Conv2DBackpropInput,Rank other than 4
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2475-53vw-vp25,https://github.com/tensorflow/tensorflow/commit/3a6ac52664c6c095aa2b114e742b0aa17fdce78f,tf.raw_ops,tf.raw_ops.AvgPoolGrad,Does not fully validate the input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v6h3-348g-6h5x,https://github.com/tensorflow/tensorflow/commit/49b3824d83af706df0ad07e4e677d88659756d89,tf.raw_ops,tf.raw_ops.QuantizedAdd,Rank other than 0
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-4w68-4x85-mjj9,https://github.com/tensorflow/tensorflow/commit/7cdf9d4d2083b739ec81cfdace546b0c99f50622,tf.raw_ops,tf.raw_ops.QuantizedAvgPool,Rank other than 0
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-qxpx-j395-pw36,https://github.com/tensorflow/tensorflow/commit/bce3717eaef4f769019fd18e990464ca4a2efeea,tf.raw_ops,tf.raw_ops.LowerBound,Empty input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-qxpx-j395-pw36,https://github.com/tensorflow/tensorflow/commit/bce3717eaef4f769019fd18e990464ca4a2efeea,tf.raw_ops,tf.raw_ops.UpperBound,Empty input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-f7r5-q7cx-h668,https://github.com/tensorflow/tensorflow/commit/2a458fc4866505be27c62f81474ecb2b870498fa,tf.raw_ops,tf.raw_ops.BlockLSTMGradV2,Rank other than 1
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-f7r5-q7cx-h668,https://github.com/tensorflow/tensorflow/commit/2a458fc4866505be27c62f81474ecb2b870498fa,tf.raw_ops,tf.raw_ops.BlockLSTMGradV2,Rank other than 2
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-f7r5-q7cx-h668,https://github.com/tensorflow/tensorflow/commit/2a458fc4866505be27c62f81474ecb2b870498fa,tf.raw_ops,tf.raw_ops.BlockLSTMGradV2,Rank other than 3
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-84jm-4cf3-9jfm,https://github.com/tensorflow/tensorflow/commit/03a659d7be9a1154fdf5eeac221e5950fec07dad,tf.raw_ops,tf.raw_ops.FractionalAvgPoolGrad,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-84jm-4cf3-9jfm,https://github.com/tensorflow/tensorflow/commit/03a659d7be9a1154fdf5eeac221e5950fec07dad,tf.raw_ops,tf.raw_ops.FractionalAvgPoolGrad,Rank other than 4
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-84jm-4cf3-9jfm,https://github.com/tensorflow/tensorflow/commit/03a659d7be9a1154fdf5eeac221e5950fec07dad,tf.raw_ops,tf.raw_ops.FractionalAvgPoolGrad,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-wxjj-cgcx-r3vq,https://github.com/tensorflow/tensorflow/commit/9178ac9d6389bdc54638ab913ea0e419234d14eb,tf.raw_ops,tf.raw_ops.AvgPool3DGrad,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h5vq-gw2c-pq47,https://github.com/tensorflow/tensorflow/commit/5f945fc6409a3c1e90d6970c9292f805f6e6ddf2,tf.raw_ops,tf.raw_ops.UnbatchGrad,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h5vq-gw2c-pq47,https://github.com/tensorflow/tensorflow/commit/5f945fc6409a3c1e90d6970c9292f805f6e6ddf2,tf.raw_ops,tf.raw_ops.UnbatchGrad,Contain more than three times the number of elements 
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mgmh-g2v6-mqw5,https://github.com/tensorflow/tensorflow/commit/3a6ac52664c6c095aa2b114e742b0aa17fdce78f,tf.raw_ops,tf.raw_ops.AvgPool,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-x989-q2pq-4q5x,https://github.com/tensorflow/tensorflow/commit/37cefa91bee4eace55715eeef43720b958a01192,tf.raw_ops,tf.raw_ops.RaggedRange,Very large float
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v5xg-3q2c-c2r4,https://github.com/tensorflow/tensorflow/commit/b5f6fbfba76576202b72119897561e3bd4f179c7,tf.raw_ops,tf.raw_ops.TensorListReserve,More than one element
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-97p7-w86h-vcf9,https://github.com/tensorflow/tensorflow/commit/c65c67f88ad770662e8f191269a907bf2b94b1bf,tf.raw_ops,tf.raw_ops.SobolSample,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-f4w6-h4f5-wx45,https://github.com/tensorflow/tensorflow/commit/61f0f9b94df8c0411f0ad0ecc2fec2d3f3c33555,tf,tf.reshape,Overflowing tensor elements
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-xrp2-fhq4-4q3w,https://github.com/tensorflow/tensorflow/commit/e57fd691c7b0fd00ea3bfe43444f30c1969748b5,tf.raw_ops,tf.histogram_fixed_width,NaN input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cwpm-f78v-7m5c,https://github.com/tensorflow/tensorflow/commit/bd4d5583ff9c8df26d47a23e508208844297310e,tf.raw_ops,tf.ragged.constant,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-hx9q-2mx4-m4pg,https://github.com/tensorflow/tensorflow/commit/84563f265f28b3c36a15335c8b005d405260e943,tf.strings,tf.strings.unsorted_segment_join,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-hx9q-2mx4-m4pg,https://github.com/tensorflow/tensorflow/commit/20cb18724b0bf6c09071a3f53434c4eec53cc147,tf.strings,tf.strings.unsorted_segment_join,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2r2f-g8mw-9gvr,https://github.com/tensorflow/tensorflow/commit/30721cf564cb029d34535446d6a5a6357bebc8e7,tf.raw_ops,tf.raw_ops.EditDistance,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-jjm6-4vf7-cjh4,https://github.com/tensorflow/tensorflow/commit/acd56b8bcb72b163c834ae4f18469047b001fadf,tf.raw_ops,tf.raw_ops.SpaceToBatchND,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-pqhm-4wvf-2jg8,https://github.com/tensorflow/tensorflow/commit/0f0b080ecde4d3dfec158d6f60da34d5e31693c4,tf.raw_ops,tf.raw_ops.QuantizedConv2D,Empty input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rc9w-5c64-9vqq,https://github.com/tensorflow/tensorflow/commit/11ced8467eccad9c7cb94867708be8fa5c66c730,tf.raw_ops,tf.raw_ops.SparseTensorDenseAdd,Dimension mismatch
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-5wpj-c6f7-24x8,https://github.com/tensorflow/tensorflow/commit/a5b89cd68c02329d793356bda85d079e9e69b4e7,tf.raw_ops,tf.raw_ops.QueueIsClosedV2,Empty input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-5wpj-c6f7-24x8,https://github.com/tensorflow/tensorflow/commit/dbdd98c37bc25249e8f288bd30d01e118a7b4498,tf.summary,tf.summary.flush,Empty input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-5v77-j66x-4c4g,https://github.com/tensorflow/tensorflow/commit/174c5096f303d5be7ed2ca2662b08371bff4ab88,tf.raw_ops,tf.raw_ops.Conv3DBackpropFilterV2,Rank other than 1
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2vv3-56qg-g2cf,https://github.com/tensorflow/tensorflow/commit/803404044ae7a1efac48ba82d74111fce1ddb09a,tf.raw_ops,tf.raw_ops.LSTMBlockCell,Rank other than 2
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2vv3-56qg-g2cf,https://github.com/tensorflow/tensorflow/commit/803404044ae7a1efac48ba82d74111fce1ddb09a,tf.raw_ops,tf.raw_ops.LSTMBlockCell,Rank other than 2
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2vv3-56qg-g2cf,https://github.com/tensorflow/tensorflow/commit/803404044ae7a1efac48ba82d74111fce1ddb09a,tf.raw_ops,tf.raw_ops.LSTMBlockCell,Rank other than 2
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2vv3-56qg-g2cf,https://github.com/tensorflow/tensorflow/commit/803404044ae7a1efac48ba82d74111fce1ddb09a,tf.raw_ops,tf.raw_ops.LSTMBlockCell,Rank other than 2
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2vv3-56qg-g2cf,https://github.com/tensorflow/tensorflow/commit/803404044ae7a1efac48ba82d74111fce1ddb09a,tf.raw_ops,tf.raw_ops.LSTMBlockCell,Rank other than 1
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2vv3-56qg-g2cf,https://github.com/tensorflow/tensorflow/commit/803404044ae7a1efac48ba82d74111fce1ddb09a,tf.raw_ops,tf.raw_ops.LSTMBlockCell,Rank other than 1
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2vv3-56qg-g2cf,https://github.com/tensorflow/tensorflow/commit/803404044ae7a1efac48ba82d74111fce1ddb09a,tf.raw_ops,tf.raw_ops.LSTMBlockCell,Rank other than 1
